Action,unitid,instnm
Anchor,166124,College of the Holy Cross
Remove,100724,Alabama State University
Remove,106342,Lyon College
Keep,107080,Hendrix College
Remove,107558,University of the Ozarks
Remove,107877,Williams Baptist University
Remove,112084,San Diego Christian College
Keep,112260,Claremont McKenna College
Remove,115755,California State Polytechnic University-Humboldt
Maybe,120254,Occidental College
Keep,121257,Pitzer College
Keep,121345,Pomona College
Keep,123165,Scripps College
Maybe,124292,Thomas Aquinas College
Remove,125727,Westmont College
Maybe,125763,Whittier College
Keep,126678,Colorado College
Remove,127185,Fort Lewis College
Remove,128780,Charter Oak State College
Keep,128902,Connecticut College
Keep,129215,Eastern Connecticut State University
Maybe,129774,Mitchell College
Keep,130590,Trinity College
Keep,130697,Wesleyan University
Remove,132602,Bethune-Cookman University
Proposed,191241,Fordham University
Proposed,217402,Providence College
Proposed,164465,Amherst College
Proposed,198385,Davidson College
Possible,233374,University of Richmond
Proposed,190099,Colgate University
Possible,173258,Carleton College
Proposed,153384,Grinnell College
Proposed,203535,Kenyon College
Proposed,164924,Boston College
Proposed,213385,Lafayette College
Proposed,161086,Colby College
Possible,163046,Loyola University Maryland
Possible,216597,Villanova University
Possible,131496,Georgetown University
